n_samples,gyr_x,gyr_y,gyr_z,acc_x,acc_y,acc_z
124,-2.35877871513366680,-0.67938929796218872,-0.67175573110580448,9.86411083984375040,0.08978256225585938,-0.44532150878906248
125,-2.37404584884643560,-0.69465649127960208,-0.68702292442321776,9.85453403320312480,0.08858546142578126,-0.42736499633789064
126,-2.35114502906799320,-0.67175573110580448,-0.64122140407562256,9.85932243652343680,0.09097966308593750,-0.43813890380859368
127,-2.35114502906799320,-0.68702292442321776,-0.65648853778839112,9.86411083984375040,0.09457096557617186,-0.43933600463867184
128,-2.35114502906799320,-0.67938929796218872,-0.65648853778839112,9.85453403320312480,0.08978256225585938,-0.43454760131835936
129,-2.35877871513366680,-0.67938929796218872,-0.65648853778839112,9.86411083984375040,0.08978256225585938,-0.44412440795898432
130,-2.37404584884643560,-0.66412216424942016,-0.65648853778839112,9.85932243652343680,0.09097966308593750,-0.42975919799804688
131,-2.35877871513366680,-0.63358777761459352,-0.68702292442321776,9.86411083984375040,0.09337386474609374,-0.43694180297851560
132,-2.38167929649353040,-0.67175573110580448,-0.65648853778839112,9.85932243652343680,0.08619125976562500,-0.43454760131835936
133,-2.37404584884643560,-0.67175573110580448,-0.65648853778839112,9.85932243652343680,0.09097966308593750,-0.43933600463867184
134,-2.35114502906799320,-0.65648853778839112,-0.67175573110580448,9.85932243652343680,0.08738836059570312,-0.44053310546875000
135,-2.37404584884643560,-0.67938929796218872,-0.66412216424942016,9.85932243652343680,0.09457096557617186,-0.42975919799804688
136,-2.37404584884643560,-0.66412216424942016,-0.68702292442321776,9.85932243652343680,0.09097966308593750,-0.44173020629882808
137,-2.38167929649353040,-0.67175573110580448,-0.67938929796218872,9.85932243652343680,0.08619125976562500,-0.43095629882812496
138,-2.37404584884643560,-0.65648853778839112,-0.65648853778839112,9.85932243652343680,0.09217676391601562,-0.43454760131835936
139,-2.35877871513366680,-0.67175573110580448,-0.65648853778839112,9.85932243652343680,0.09097966308593750,-0.44412440795898432
